MemTotal:       528013276 kB
MemFree:        524249000 kB
MemAvailable:   521691484 kB
Buffers:          128596 kB
Cached:          1022896 kB
SwapCached:            0 kB
Active:           698028 kB
Inactive:         639444 kB
Active(anon):      23096 kB
Inactive(anon):   166320 kB
Active(file):     674932 kB
Inactive(file):   473124 kB
Unevictable:       12016 kB
Mlocked:           12016 kB
SwapTotal:       3905532 kB
SwapFree:        3905532 kB
Dirty:              1060 kB
Writeback:             0 kB
AnonPages:        198300 kB
Mapped:            85400 kB
Shmem:             24284 kB
KReclaimable:     168036 kB
Slab:             635136 kB
SReclaimable:     168036 kB
SUnreclaim:       467100 kB
KernelStack:       20752 kB
PageTables:         4992 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    267912168 kB
Committed_AS:    1954584 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      412192 kB
VmallocChunk:          0 kB
Percpu:            79488 kB
HardwareCorrupted:     0 kB
AnonHugePages:     96256 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      948480 kB
DirectMap2M:    31420416 kB
DirectMap1G:    505413632 kB
