MemTotal:       528013276 kB
MemFree:        523660928 kB
MemAvailable:   521607864 kB
Buffers:          143612 kB
Cached:          1540968 kB
SwapCached:            0 kB
Active:           911960 kB
Inactive:         964160 kB
Active(anon):      23096 kB
Inactive(anon):   169312 kB
Active(file):     888864 kB
Inactive(file):   794848 kB
Unevictable:       12016 kB
Mlocked:           12016 kB
SwapTotal:       3905532 kB
SwapFree:        3905532 kB
Dirty:               480 kB
Writeback:            40 kB
AnonPages:        203488 kB
Mapped:            91908 kB
Shmem:             24288 kB
KReclaimable:     197180 kB
Slab:             682828 kB
SReclaimable:     197180 kB
SUnreclaim:       485648 kB
KernelStack:       20112 kB
PageTables:         5244 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    267912168 kB
Committed_AS:    2013300 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      411828 kB
VmallocChunk:          0 kB
Percpu:            78720 kB
HardwareCorrupted:     0 kB
AnonHugePages:     96256 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      985344 kB
DirectMap2M:    28237824 kB
DirectMap1G:    508559360 kB
