MemTotal:       528013276 kB
MemFree:        524035000 kB
MemAvailable:   521630476 kB
Buffers:          128904 kB
Cached:          1219936 kB
SwapCached:            0 kB
Active:           830348 kB
Inactive:         700880 kB
Active(anon):      23108 kB
Inactive(anon):   165620 kB
Active(file):     807240 kB
Inactive(file):   535260 kB
Unevictable:       12016 kB
Mlocked:           12016 kB
SwapTotal:       3905532 kB
SwapFree:        3905532 kB
Dirty:               296 kB
Writeback:            16 kB
AnonPages:        195028 kB
Mapped:            85520 kB
Shmem:             24316 kB
KReclaimable:     176684 kB
Slab:             651944 kB
SReclaimable:     176684 kB
SUnreclaim:       475260 kB
KernelStack:       20688 kB
PageTables:         5088 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    267912168 kB
Committed_AS:    1949320 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      412336 kB
VmallocChunk:          0 kB
Percpu:            78720 kB
HardwareCorrupted:     0 kB
AnonHugePages:    137216 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      960768 kB
DirectMap2M:    25116672 kB
DirectMap1G:    511705088 kB
