MemTotal:       528013276 kB
MemFree:        524570640 kB
MemAvailable:   521873500 kB
Buffers:          123636 kB
Cached:           768796 kB
SwapCached:            0 kB
Active:           462696 kB
Inactive:         606180 kB
Active(anon):      23072 kB
Inactive(anon):   157248 kB
Active(file):     439624 kB
Inactive(file):   448932 kB
Unevictable:       12016 kB
Mlocked:           12016 kB
SwapTotal:       3905532 kB
SwapFree:        3905532 kB
Dirty:              1144 kB
Writeback:             0 kB
AnonPages:        188736 kB
Mapped:            84872 kB
Shmem:             24284 kB
KReclaimable:     148284 kB
Slab:             583816 kB
SReclaimable:     148284 kB
SUnreclaim:       435532 kB
KernelStack:       19968 kB
PageTables:         5024 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    267912168 kB
Committed_AS:    1896396 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      411440 kB
VmallocChunk:          0 kB
Percpu:            77952 kB
HardwareCorrupted:     0 kB
AnonHugePages:     86016 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      940288 kB
DirectMap2M:    30380032 kB
DirectMap1G:    506462208 kB
