MemTotal:       528013276 kB
MemFree:        524088028 kB
MemAvailable:   521625832 kB
Buffers:          132068 kB
Cached:          1154808 kB
SwapCached:            0 kB
Active:           736692 kB
Inactive:         736856 kB
Active(anon):      23104 kB
Inactive(anon):   166808 kB
Active(file):     713588 kB
Inactive(file):   570048 kB
Unevictable:       12016 kB
Mlocked:           12016 kB
SwapTotal:       3905532 kB
SwapFree:        3905532 kB
Dirty:               380 kB
Writeback:            68 kB
AnonPages:        199360 kB
Mapped:            86136 kB
Shmem:             24284 kB
KReclaimable:     179072 kB
Slab:             653308 kB
SReclaimable:     179072 kB
SUnreclaim:       474236 kB
KernelStack:       20144 kB
PageTables:         5376 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    267912168 kB
Committed_AS:    1962732 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      411568 kB
VmallocChunk:          0 kB
Percpu:            79488 kB
HardwareCorrupted:     0 kB
AnonHugePages:    104448 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      956672 kB
DirectMap2M:    32460800 kB
DirectMap1G:    504365056 kB
