MemTotal:       527826576 kB
MemFree:        519792204 kB
MemAvailable:   518112080 kB
Buffers:          120480 kB
Cached:           724916 kB
SwapCached:            0 kB
Active:           517264 kB
Inactive:         583476 kB
Active(anon):       2824 kB
Inactive(anon):   228712 kB
Active(file):     514440 kB
Inactive(file):   354764 kB
Unevictable:       12016 kB
Mlocked:           12016 kB
SwapTotal:       3905532 kB
SwapFree:        3905532 kB
Dirty:              1004 kB
Writeback:            76 kB
AnonPages:        267088 kB
Mapped:           101536 kB
Shmem:              7516 kB
KReclaimable:     144764 kB
Slab:            2811728 kB
SReclaimable:     144764 kB
SUnreclaim:      2666964 kB
KernelStack:       35472 kB
PageTables:         7356 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    267818820 kB
Committed_AS:    2957240 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      294340 kB
VmallocChunk:          0 kB
Percpu:           870144 kB
HardwareCorrupted:     0 kB
AnonHugePages:    129024 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1191932 kB
DirectMap2M:    25573376 kB
DirectMap1G:    511705088 kB
