MemTotal:       263749236 kB
MemFree:        195372556 kB
MemAvailable:   260027820 kB
Buffers:          989928 kB
Cached:         64071836 kB
SwapCached:            0 kB
Active:          3982380 kB
Inactive:       61247216 kB
Active(anon):        904 kB
Inactive(anon):   188092 kB
Active(file):    3981476 kB
Inactive(file): 61059124 kB
Unevictable:       11284 kB
Mlocked:           11284 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4736 kB
Writeback:             0 kB
AnonPages:        179124 kB
Mapped:           155112 kB
Shmem:             12604 kB
KReclaimable:    1906268 kB
Slab:            2357284 kB
SReclaimable:    1906268 kB
SUnreclaim:       451016 kB
KernelStack:       13440 kB
PageTables:         5488 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    131874616 kB
Committed_AS:    1118100 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      249936 kB
VmallocChunk:          0 kB
Percpu:            65472 kB
HardwareCorrupted:     0 kB
AnonHugePages:     98304 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      618668 kB
DirectMap2M:    22282240 kB
DirectMap1G:    245366784 kB
