MemTotal:       527826576 kB
MemFree:        519572760 kB
MemAvailable:   517972372 kB
Buffers:          122864 kB
Cached:           853524 kB
SwapCached:            0 kB
Active:           701504 kB
Inactive:         544708 kB
Active(anon):       2852 kB
Inactive(anon):   235956 kB
Active(file):     698652 kB
Inactive(file):   308752 kB
Unevictable:       12016 kB
Mlocked:           12016 kB
SwapTotal:       3905532 kB
SwapFree:        3905532 kB
Dirty:              1132 kB
Writeback:             0 kB
AnonPages:        280924 kB
Mapped:           101016 kB
Shmem:              7504 kB
KReclaimable:     166040 kB
Slab:            2877740 kB
SReclaimable:     166040 kB
SUnreclaim:      2711700 kB
KernelStack:       35072 kB
PageTables:         6180 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    267818820 kB
Committed_AS:    3022736 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      294580 kB
VmallocChunk:          0 kB
Percpu:           870144 kB
HardwareCorrupted:     0 kB
AnonHugePages:    147456 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1193980 kB
DirectMap2M:    25571328 kB
DirectMap1G:    511705088 kB
