MemTotal:       527826576 kB
MemFree:        519410968 kB
MemAvailable:   517883300 kB
Buffers:          126840 kB
Cached:           970828 kB
SwapCached:            0 kB
Active:           751428 kB
Inactive:         615688 kB
Active(anon):       2844 kB
Inactive(anon):   235276 kB
Active(file):     748584 kB
Inactive(file):   380412 kB
Unevictable:       12016 kB
Mlocked:           12016 kB
SwapTotal:       3905532 kB
SwapFree:        3905532 kB
Dirty:               340 kB
Writeback:             0 kB
AnonPages:        281048 kB
Mapped:           100924 kB
Shmem:              7504 kB
KReclaimable:     189888 kB
Slab:            2944104 kB
SReclaimable:     189888 kB
SUnreclaim:      2754216 kB
KernelStack:       36256 kB
PageTables:         6548 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    267818820 kB
Committed_AS:    3031948 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      295572 kB
VmallocChunk:          0 kB
Percpu:           870144 kB
HardwareCorrupted:     0 kB
AnonHugePages:    151552 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1193980 kB
DirectMap2M:    25571328 kB
DirectMap1G:    511705088 kB
